mode,variant,N,iterations,error,time_sec
gpu,base,128,30074,9.999803e-07,1.388686
gpu,opt,128,30074,9.999803e-07,0.661839
gpu,base,256,102885,9.999302e-07,16.418379
gpu,opt,256,102885,9.999302e-07,9.683148
gpu,base,512,339599,9.999842e-07,235.330312
gpu,opt,512,339599,9.999842e-07,118.048318
