mode,variant,N,iterations,error,time_sec
multicore,base,128,30074,9.999803e-07,1.346781
multicore,opt,128,30074,9.999803e-07,0.665983
multicore,base,256,102885,9.999302e-07,14.583213
multicore,opt,256,102885,9.999302e-07,8.921191
multicore,base,512,339599,9.999842e-07,211.979104
multicore,opt,512,339599,9.999842e-07,106.126507
